arodes_int_num	adress_forest	a_year	arodes_typ_cd
1704001043	17-04-1-02-4     -g   -00	2023	WYDZIEL  
1704001045	17-04-1-02-4     -h   -00	2023	WYDZIEL  
1704001046	17-04-1-02-5     -    -  	2023	ODDZ     
1704001048	17-04-1-02-5     -a   -00	2023	WYDZIEL  
1704001052	17-04-1-02-5     -b   -00	2023	WYDZIEL  
1704001056	17-04-1-02-5     -d   -00	2023	WYDZIEL  
1704001058	17-04-1-02-5     -f   -00	2023	WYDZIEL  
1704001060	17-04-1-02-5     -i   -00	2023	WYDZIEL  
1704001062	17-04-1-02-5     -g   -00	2023	WYDZIEL  
1704001064	17-04-1-02-5     -h   -00	2023	WYDZIEL  
1704001066	17-04-1-02-5     -j   -00	2023	WYDZIEL  
1704001068	17-04-1-02-5     -k   -00	2023	WYDZIEL  
1704001070	17-04-1-02-5     -l   -00	2023	WYDZIEL  
1704001072	17-04-1-02-5     -m   -00	2023	WYDZIEL  
1704001074	17-04-1-02-5     -n   -00	2023	WYDZIEL  
1704001076	17-04-1-02-5     -o   -00	2023	WYDZIEL  
1704001077	17-04-1-02-6     -    -  	2023	ODDZ     
1704001079	17-04-1-02-6     -a   -00	2023	WYDZIEL  
1704001081	17-04-1-02-6     -c   -00	2023	WYDZIEL  
1704001083	17-04-1-02-6     -d   -00	2023	WYDZIEL  
1704001085	17-04-1-02-6     -f   -00	2023	WYDZIEL  
1704001087	17-04-1-02-6     -g   -00	2023	WYDZIEL  
1704001089	17-04-1-02-6     -h   -00	2023	WYDZIEL  
1704001091	17-04-1-02-6     -i   -00	2023	WYDZIEL  
1704001093	17-04-1-02-6     -j   -00	2023	WYDZIEL  
1704001095	17-04-1-02-6     -k   -00	2023	WYDZIEL  
1704001097	17-04-1-02-6     -l   -00	2023	WYDZIEL  
1704001099	17-04-1-02-6     -m   -00	2023	WYDZIEL  
1704001100	17-04-1-02-26    -    -  	2023	ODDZ     
1704001102	17-04-1-02-26    -a   -00	2023	WYDZIEL  
1704001104	17-04-1-02-26    -b   -00	2023	WYDZIEL  
1704001106	17-04-1-02-26    -f   -00	2023	WYDZIEL  
1704001108	17-04-1-02-26    -d   -00	2023	WYDZIEL  
1704001110	17-04-1-02-26    -h   -00	2023	WYDZIEL  
1704001112	17-04-1-02-26    -c   -00	2023	WYDZIEL  
1704001114	17-04-1-02-26    -g   -00	2023	WYDZIEL  
1704001115	17-04-1-02-27    -    -  	2023	ODDZ     
1704001117	17-04-1-02-27    -a   -00	2023	WYDZIEL  
1704001119	17-04-1-02-27    -b   -00	2023	WYDZIEL  
