site_int_num	arodes_int_num	prot_site_cd	prot_site_state	a_year
1046	1704007168	9170	C	2023
1047	1704007170	9170	C	2023
1048	1704007172	9170	C	2023
1049	1704007178	9170	C	2023
1050	1704007181	9170	C	2023
1051	1704007183	9170	B	2023
1052	1704007187	9170	C	2023
1053	1704007189	9170	C	2023
1477	1704007193	9170	C	2023
1055	1704007195	9170	C	2023
939	1704007208	91E0	A	2023
1471	1704007219	9170	C	2023
944	1704007224	91E0	C	2023
945	1704007226	91E0	C	2023
946	1704007228	91E0	A	2023
1472	1704007230	9170	C	2023
1473	1704007232	9170	C	2023
952	1704007234	9170	C	2023
953	1704007239	9170	C	2023
955	1704007280	9170	B	2023
956	1704007294	9170	B	2023
959	1704007315	91E0	C	2023
960	1704007317	91E0	C	2023
964	1704007322	91E0	C	2023
1474	1704007328	91E0	C	2023
966	1704007330	9170	C	2023
967	1704007333	9170	B	2023
968	1704007335	9170	B	2023
969	1704007339	9170	C	2023
970	1704007341	9170	C	2023
971	1704007343	9170	C	2023
972	1704007345	9170	C	2023
973	1704007347	91E0	C	2023
978	1704007363	9170	C	2023
981	1704007365	9170	B	2023
980	1704007367	9170	C	2023
982	1704007370	9170	B	2023
983	1704007374	9170	B	2023
984	1704007395	91E0	B	2023
985	1704007397	91E0	B	2023
986	1704007399	91E0	B	2023
987	1704007401	91E0	B	2023
988	1704007403	91E0	B	2023
990	1704007478	91E0	C	2023
1056	1704007716	91E0	B	2023
1059	1704007896	91E0	B	2023
1292	1704007981	91T0	C	2023
1293	1704008120	91T0	B	2023
1067	1704008303	91E0	C	2023
1113	1704008492	9170	C	2023
1114	1704008508	9170	C	2023
1115	1704008510	9170	C	2023
1116	1704008576	9170	C	2023
1117	1704008586	9170	C	2023
1482	1704008591	9170	C	2023
1123	1704008607	9170	C	2023
1129	1704008614	9170	C	2023
1137	1704008640	9170	C	2023
1138	1704008646	9170	C	2023
1139	1704008695	9170	C	2023
1140	1704008697	9170	C	2023
1141	1704008699	9170	C	2023
1154	1704008725	9170	C	2023
1208	1704008729	9170	C	2023
1229	1704008846	9170	C	2023
1072	1704008854	9170	C	2023
1073	1704008861	9170	C	2023
1074	1704008870	9170	B	2023
1075	1704008872	9170	C	2023
1478	1704008874	9170	C	2023
1295	1704008876	9170	B	2023
1078	1704008878	9170	C	2023
1079	1704008882	9170	B	2023
1080	1704008889	9170	B	2023
1082	1704008893	9170	B	2023
1479	1704008898	9190	C	2023
1088	1704008913	9170	C	2023
1089	1704008921	9170	B	2023
1090	1704008923	9170	C	2023
1091	1704008927	9170	C	2023
1296	1704008929	9170	B	2023
1093	1704008931	9170	C	2023
1297	1704009014	91D0	C	2023
1095	1704009016	91D0	C	2023
1096	1704009046	9170	C	2023
1097	1704009051	91E0	C	2023
1099	1704009084	9170	C	2023
1100	1704009087	9170	C	2023
1101	1704009095	9170	C	2023
1102	1704009101	9170	C	2023
1103	1704009206	9170	C	2023
1108	1704009210	9170	C	2023
1105	1704009212	9170	C	2023
1106	1704009216	9170	C	2023
1107	1704009218	9170	C	2023
1481	1704009229	9170	C	2023
1111	1704009231	9170	C	2023
1112	1704009244	9170	C	2023
1164	1704009391	9170	C	2023
1165	1704009395	9170	C	2023
1169	1704009508	9170	C	2023
1170	1704009585	9170	C	2023
1171	1704009596	9170	B	2023
1172	1704009598	9170	C	2023
1173	1704009602	9170	C	2023
1174	1704009606	9170	C	2023
1175	1704009610	9170	C	2023
1176	1704009613	9170	C	2023
1177	1704009621	9170	C	2023
1178	1704009720	9170	C	2023
1179	1704009728	9170	C	2023
1490	1704009838	9170	C	2023
1180	1704009963	9170	C	2023
1181	1704009965	9170	C	2023
1182	1704009971	9170	C	2023
1183	1704009973	9170	C	2023
1193	1704010063	9170	C	2023
1491	1704010067	9170	C	2023
1230	1704010069	91E0	A	2023
1195	1704010071	91E0	C	2023
1197	1704010075	91E0	C	2023
1198	1704010100	91E0	C	2023
1187	1704010114	9170	C	2023
1298	1704010116	9170	B	2023
1189	1704010123	9170	C	2023
1199	1704010151	91F0	C	2023
320	1704010798	7140	C	2023
294	1704010856	6510	C	2023
1310	1704011826	3160	C	2023
732	1704011886	6120	C	2023
1284	1704011912	91D0	C	2023
757	1704011914	3160	C	2023
925	1704012462	91D0	C	2023
931	1704012466	7140	C	2023
1148	1704014957	9170	C	2023
940	1704014978	9170	C	2023
736	1704014994	91F0	C	2023
1458	1704014995	91F0	C	2023
1126	1704015055	9170	C	2023
1132	1704015057	9170	C	2023
161	1704015110	9170	C	2023
198	1704015116	91F0	B	2023
