arodes_int_num	a_year	density_cd	mixture_cd	standdensity_index	tree_stock_cd	st_rank_order_act	storey_cd
1704000078	2023			0.4		2	PODR    
1704000699	2023	UM  	GRP 	0.8	UM PRZ 	1	DRZEW   
1704000699	2023			0.8		2	PODSZ   
1704000453	2023	UM  	KĘP 	0.9	UM DUŻE	1	DRZEW   
1704000453	2023			0.5		2	PODSZ   
1704000497	2023	UM  	DKĘP	0.7	UM PRZ 	1	DRZEW   
1704000497	2023			0.7		2	PODSZ   
1704000499	2023	UM  	DKĘP	0.8	UM PRZ 	1	DRZEW   
1704000705	2023	UM  	GRP 	0.7	UM PRZ 	1	DRZEW   
1704000705	2023			0.7		2	PODSZ   
1704000457	2023	UM  	KĘP 	0.9	UM PRZ 	1	DRZEW   
1704000457	2023			0.7		2	PODSZ   
1704000499	2023			0.7		2	PODSZ   
1704000078	2023			0.3		3	PODSZ   
1704000501	2023	UM  	KĘP 	0.9	UM DUŻE	1	DRZEW   
1704000501	2023			0.8		2	PODSZ   
1704000080	2023	UM  	KĘP 	1.0	UM PRZ 	1	DRZEW   
1704000503	2023	UM  	GRP 	0.9	UM DUŻE	1	DRZEW   
1704000503	2023			0.8		2	PODSZ   
1704000714	2023	UM  		0.8	UM PRZ 	1	DRZEW   
1704000714	2023			1.0		2	PODSZ   
1704000464	2023			0.7		2	PODSZ   
1704000464	2023	UM  		0.9	UM PRZ 	1	DRZEW   
1704000469	2023	UM  	KĘP 	0.6	UM PRZ 	1	DRZEW   
1704000469	2023			0.3		2	PODSZ   
1704000505	2023	PRZ 	GRP 	0.6	PRZ UM 	1	IP      
1704000505	2023	PRZ 		0.3	PRZ UM 	2	IIP     
1704000505	2023			0.3		3	PODR    
1704000505	2023			0.3		4	PODSZ   
1704000716	2023	PRZ 	GRP 	0.7	PRZ UM 	1	DRZEW   
1704000716	2023			0.8		2	PODSZ   
1704000722	2023	PRZ 		0.7	PRZ UM 	1	DRZEW   
1704000722	2023			0.8		2	PODSZ   
1704000471	2023	UM  	GRP 	0.7	UM PRZ 	1	DRZEW   
1704000471	2023			0.8		2	PODSZ   
1704000475	2023			0.8		2	PODSZ   
1704000475	2023	UM  		0.9	UM PRZ 	1	DRZEW   
1704000508	2023		KĘP 	0.9		1	DRZEW   
1704000508	2023					2	PRZES   
1704000510	2023	PRZ 	KĘP 	0.6	PRZ UM 	1	DRZEW   
1704000510	2023			0.7		2	PODSZ   
1704000512	2023	UM  	DKĘP	0.7	UM PRZ 	1	DRZEW   
1704000512	2023			0.8		2	PODSZ   
1704000725	2023	PRZ 	GRP 	0.6	PRZ UM 	1	DRZEW   
1704000725	2023			0.7		2	PODSZ   
1704000477	2023	UM  	DKĘP	0.8	UM PRZ 	1	DRZEW   
1704000477	2023			0.7		2	PODSZ   
1704000480	2023	UM  		0.9	UM PRZ 	1	DRZEW   
1704000480	2023			0.5		2	PODSZ   
1704000482	2023	UM  	GRP 	0.9	UM PRZ 	1	DRZEW   
1704000482	2023			0.4		2	PODSZ   
1704000484	2023			0.2		2	PODR    
1704000484	2023	UM  	GRP 	0.8	UM PRZ 	1	DRZEW   
1704000484	2023			0.4		3	PODSZ   
1704000486	2023	UM  	KĘP 	0.9	UM PRZ 	1	DRZEW   
